Line,id,Column,Row,Grid,Flowering_time,Plant_height,Leaf_area,Violaxanthin,Lutein,Betacarotene,Alphatocopherol,Total_carotenoids,log.Leaf_area,log.Alphatocopherol
F2,46,1,31,1,38,178,80.541,5.473506875,16.14145363,37.83765286,17.63951786,59.45261337,4.388766372,2.870141718
F2,94,2,17,4,29,75,19.789,6.840955481,19.05160778,52.08100151,39.04337128,77.97356477,2.985126228,3.664673112
F2,125,2,18,4,41,118,28.861,6.538668825,24.35652448,62.72987475,67.14962394,93.62506806,3.362491203,4.206923323
F2,136,2,19,3,36,108,16.724,3.758136708,17.88148577,47.32921864,27.8640898,68.96884112,2.816844813,3.327338756
F2,76,2,20,3,35,110,-,9.327937991,30.78041392,72.1773478,28.90924763,112.2856997,-,3.364161531
F2,145,2,21,3,37,100,46.728,9.166988392,21.94057005,58.91144015,79.82812111,90.01899859,3.844343557,4.379875837
F2,59,2,22,3,39,171,55.016,7.082307056,30.14762462,67.39341478,22.12740484,104.6233465,4.007624052,3.096816878
F2,47,2,23,3,37,192,47.873,12.17769355,26.83405515,76.63886653,64.35641684,115.6506152,3.868551671,4.164436647
F2,202,2,24,3,30,78,14.353,7.337990773,15.30334006,38.17084966,37.47369359,60.81218049,2.66395898,3.623639183
F2,178,2,25,2,-,-,-,-,-,-,-,-,-,-
F2,77,2,26,2,38,110,32.828,5.823156518,22.06356416,55.02863389,40.24325161,82.91535457,3.49128181,3.694942328
F2,49,1,30,2,32,74,29.403,6.981612344,22.23538751,51.28891062,93.01503058,80.50591047,3.38109671,4.532761099
F2,137,2,27,2,38,169,68.737,8.192968848,26.16189741,64.03680168,27.88688902,98.39166794,4.230287628,3.328156651
F2,75,2,28,2,36,89,37.023,13.80987414,35.89239252,85.40533422,31.84873566,135.1076009,3.611539341,3.460997685
F2,53,2,29,2,40,105,29.011,7.733018394,21.03452626,57.71858317,60.76292746,86.48612782,3.367675068,4.106979857
F2,74,2,30,2,32,109,41.255,5.810788096,22.52950129,54.9421597,83.59867114,83.28244909,3.719772318,4.426027625
F2,150,2,31,1,41,111,17.009,6.072886913,22.42088757,54.63121612,25.18676642,83.1249906,2.833742616,3.226318715
F2,159,2,33,1,39,102,21.001,3.602197174,25.86347975,59.18044829,26.23572855,88.64612521,3.044570056,3.267122167
F2,108,2,34,1,38,178,76.952,7.047345965,26.91787987,70.14503486,39.47548861,104.1102607,4.343181851,3.675679938
F2,105,2,35,1,30,110,21.286,8.680123405,22.13871294,56.19404775,78.56334554,87.0128841,3.05804958,4.363905249
F2,128,2,36,1,39,85,30.211,5.727621477,28.04531063,68.80168753,15.67402977,102.5746196,3.408206096,2.752005188
F2,69,3,36,1,46,182,47.054,9.569986587,23.65631921,67.12303192,33.30388618,100.3493377,3.851295878,3.505674092
F2,45,1,29,2,34,96,41.321,8.341461069,17.24789795,41.43799812,28.44164045,67.02735714,3.721370845,3.347854284
F2,73,3,35,1,42,172,76.845,11.79323689,32.90553124,88.25153878,75.17045406,132.9503069,4.341790406,4.319758256
F2,70,3,34,1,38,112,29.299,6.785858303,23.4417893,62.84467261,78.746813,93.07232021,3.377553386,4.366237807
F2,186,3,33,1,39,179,80.379,9.941520467,27.58085314,71.04598282,28.67792852,108.5683564,4.386752948,3.356127786
F2,119,3,32,1,37,101,52.644,8.316306446,28.15579402,68.81285571,48.96305025,105.2849562,3.963552272,3.891065937
F2,192,3,31,1,34,148,20.861,9.636964276,23.94736771,60.92716989,29.30360951,94.51150188,3.037881387,3.3777107
F2,113,3,30,2,35,155,38.749,10.59937572,26.36137408,73.37118739,24.81768894,110.3319372,3.657104949,3.211556663
F2,104,3,29,2,30,99,16.66,11.20083882,21.89708809,66.81320934,27.79007739,99.91113625,2.813010637,3.324679029
F2,170,3,28,2,41,172,65.033,8.539337175,26.46188432,71.45350124,65.87249123,106.4547227,4.174894833,4.187720922
F2,130,3,27,2,50,125,57.176,7.58273875,19.89966865,54.49836835,15.27002391,81.98077575,4.04613423,2.725891685
F2,102,3,26,2,38,112,29.129,7.153405428,23.22710005,68.22132671,16.78478195,98.60183219,3.371734242,2.82047264
F2,156,1,28,2,39,192,83.135,6.63283779,25.5213961,46.27618126,17.1297056,78.43041515,4.420465792,2.840814126
F2,153,3,25,2,37,160,26.29,8.82875881,28.30800629,72.41418915,110.477837,109.5509543,3.269188639,4.704814931
F2,162,3,24,3,48,178,54.555,6.2250042,29.96565598,61.91143122,39.05894377,98.1020914,3.999209367,3.665071884
F2,92,3,22,3,32,75,14.534,9.073721938,24.10977511,61.76649158,53.21119568,94.94998863,2.676490732,3.974268819
F2,116,3,21,3,30,72,8.963,10.43468873,27.44032749,62.04313636,61.07640281,99.91815258,2.193104992,4.112125586
F2,148,3,20,3,36,141,-,11.12837599,31.29522528,79.64381948,18.15821221,122.0674208,-,2.899122922
F2,210,3,19,3,26,125,19.888,8.245267489,27.24648422,67.83436415,25.80703706,103.3261159,2.990116535,3.250647209
F2,51,3,18,4,36,128,37.256,6.231639557,24.96179904,72.90859138,34.51661373,104.10203,3.617813006,3.541440766
F2,112,3,17,4,39,162,44.603,11.5873652,27.47402185,73.19971186,76.873648,112.2610989,3.797801121,4.342163139
F2,67,3,16,4,37,123,40.281,10.81960445,26.71727694,67.37301396,60.8081537,104.9098954,3.695879894,4.107723887
F2,163,3,15,4,35,100,20.563,8.589204289,22.08305763,56.6245508,20.69234634,87.29681272,3.023493344,3.02976389
F2,149,3,14,4,30,108,45.784,10.33404629,26.11477549,63.4651775,29.91891826,99.91399928,3.823934685,3.398490998
F2,143,3,12,5,36,130,30.051,10.49685133,28.62492916,67.7152623,29.86763166,106.8370428,3.402895938,3.396775341
F2,68,3,11,5,36,142,42.2,11.25962026,22.12734996,67.37033596,32.1150317,100.7573062,3.742420221,3.469324198
F2,166,3,8,5,48,160,74.945,4.031895439,26.69974844,54.94099384,30.2188423,85.67263772,4.316754511,3.408465647
F2,181,3,7,5,37,172,-,7.018117949,22.60464421,46.96276843,37.63342225,76.58553059,-,3.627892545
