Line,ID,Column,Row,Grid,meanLength,meanWidth,meanLeng6,meanVD_in_um.mm2,flowering.time,plant.height..cm.,leaf.weight,leaf_area..cm².,Violaxanthin..ug.g.,Lutein..ug.g.,Betacarotene..ug.g.,Alphatocopherol..ug.g.,Total_carotenoids..ug.g.,noout.meanLength,noout.meanWidth,noout.meanVD_in_um.mm2,noout.flowering.time,noout.plant.height..cm.,noout.leaf.weight,noout.leaf_area,noout.Alphatocopherol..ug.g.,sqrt.noout.meanVD_in_um.mm2,cbrt.flowering.time,sqaure.plant.height..cm.,logPls1.leaf.weight,sqrt.leaf.area,log.Alphatocopherol..ug.g.
F2,63,2,32,1,45.42261111,115.25075,267.0763333,7278.228423,40,70,2.1,68.63333333,19.61434958,48.11546925,108.3396927,16.0081813,176.0695115,45.42261111,115.25075,7278.228423,40,70,2.1,68.63333333,16.0081813,85.3125338,3.419951893,4900,1.131402111,8.284523724,2.773099923
F2,64,2,33,1,55.49022222,150.1431667,310.8568333,5831.213498,38,57,0.8,42.3,13.04955139,33.20539276,72.44049634,6.665993905,118.6954405,55.49022222,150.1431667,5831.213498,38,57,0.8,42.3,6.665993905,76.36238274,3.361975407,3249,0.587786665,6.503845017,1.897019066
F2,65,2,34,1,45.31575,115.9258611,285.4995,6619.262382,37,46,0.7,36.43333333,17.01789684,43.46775782,93.22769241,12.11140415,153.7133471,45.31575,115.9258611,6619.262382,37,46,0.7,36.43333333,12.11140415,81.35884944,3.332221852,2116,0.530628251,6.036003092,2.4941475
F2,66,2,35,1,46.17238889,129.1799445,273.63,6675.846853,40,50,0.7,27.26666667,,,,,,46.17238889,129.1799445,6675.846853,40,50,0.7,27.26666667,,81.70585568,3.419951893,2500,0.530628251,5.221749388,
F2,67,2,36,1,33.69358334,102.3972222,230.2348333,7699.242914,35,33,0.4,16.5,17.68657927,45.16002986,111.733733,10.23192808,174.5803421,33.69358334,102.3972222,7699.242914,35,33,0.4,16.5,10.23192808,87.74532987,3.27106631,1089,0.336472237,4.062019202,2.325513035
F2,68,3,36,1,44.55794444,126.5049167,267.0806667,7075.859831,41,44,0.5,21.6,12.0016866,33.41297357,66.03375607,15.66226645,111.4484162,44.55794444,126.5049167,7075.859831,41,44,0.5,21.6,15.66226645,84.11813022,3.44821724,1936,0.405465108,4.647580015,2.751254409
F2,69,3,35,1,48.97180556,130.2438056,297.0895,6648.637249,40,35,0.9,35.8,16.34172644,45.34404368,106.4813421,32.42502125,168.1671122,48.97180556,130.2438056,6648.637249,40,35,0.9,35.8,32.42502125,81.53917616,3.419951893,1225,0.641853886,5.983310121,3.478930386
F2,70,3,34,1,46.97733333,121.0805,208.569,6544.992428,41,47,0.9,42.7,15.75388633,32.1246739,77.61093087,25.42433939,125.4894911,46.97733333,121.0805,6544.992428,41,47,0.9,42.7,25.42433939,80.90112748,3.44821724,2209,0.641853886,6.534523701,3.235706959
F2,71,3,33,1,41.67888889,117.7087222,292.1638333,6002.238806,41,43,0.2,11.96666667,21.20987599,53.8576397,121.9807452,11.29222316,197.0482609,41.67888889,117.7087222,6002.238806,41,43,0.2,11.96666667,11.29222316,77.47411701,3.44821724,1849,0.182321557,3.459287018,2.424114273
F2,72,3,32,1,50.71875,141.5295,331.5821667,5845.688948,37,67,0.6,28.1,7.396343914,20.520295,46.7208011,7.14936208,74.63744001,50.71875,141.5295,5845.688948,37,67,0.6,28.1,7.14936208,76.45710528,3.332221852,4489,0.470003629,5.300943312,1.967023133
F2,73,3,31,1,44.87175,118.9605,290.3853333,6682.93316,41,62,0.4,21.03333333,18.96962171,50.24478861,115.0449936,16.74825619,184.2594039,44.87175,118.9605,6682.93316,41,62,0.4,21.03333333,16.74825619,81.74920893,3.44821724,3844,0.336472237,4.586211217,2.818294145
F2,74,3,30,2,46.931,121.6955,299.6856667,6649.47004,42,49,0.8,28.6,14.80187445,28.68571993,72.8064183,19.81336788,116.2940127,46.931,121.6955,6649.47004,42,49,0.8,28.6,19.81336788,81.54428269,3.476026645,2401,0.587786665,5.347896783,2.986356855
F2,75,3,29,2,46.64230556,122.3421667,329.806,6256.619079,34,64,0.4,19.8,9.406897859,22.77837766,58.31294509,8.82094073,90.4982206,46.64230556,122.3421667,6256.619079,34,64,0.4,19.8,8.82094073,79.09879316,3.239611801,4096,0.336472237,4.449719092,2.177128523
F2,76,3,28,2,36.86925,120.3218889,222.5911667,6597.306944,44,55,0.8,33.2,16.09330619,31.91262899,75.04326499,15.4747538,123.0492002,36.86925,120.3218889,6597.306944,44,55,0.8,33.2,15.4747538,81.22380774,3.530348335,3025,0.587786665,5.761944116,2.739209909
F2,77,3,27,2,33.45804167,113.873,212.357,6455.807917,38,51,0.7,31.4,20.34657573,41.96970326,108.508171,17.45698009,170.82445,33.45804167,113.873,6455.807917,38,51,0.7,31.4,17.45698009,80.3480424,3.361975407,2601,0.530628251,5.60357029,2.859739574
F2,78,3,26,2,37.01355556,117.8701667,239.0005,7494.073114,49,80,1.5,59.33333333,21.20634001,37.34703719,85.37679913,30.55659638,143.9301763,37.01355556,117.8701667,7494.073114,49,80,1.5,59.33333333,30.55659638,86.56831472,3.65930571,6400,0.916290732,7.702813339,3.419580583
F2,79,3,25,2,48.26211111,124.6103056,318.601,5749.978371,41,57,1.5,53.33333333,19.32852415,43.17130077,100.3664263,7.805814534,162.8662512,48.26211111,124.6103056,5749.978371,41,57,1.5,53.33333333,7.805814534,75.82861182,3.44821724,3249,0.916290732,7.302967433,2.054868909
F2,80,3,24,3,44.71086111,116.4096389,265.8671667,6290.006489,42,63,1.2,10.63333333,17.06961928,36.8658996,85.25816826,15.40700833,139.1936871,44.71086111,116.4096389,6290.006489,42,63,1.2,10.63333333,15.40700833,79.30956114,3.476026645,3969,0.78845736,3.260879227,2.734822492
